,AAPl,MSFT,GOOG,AMZN,NVDA,TSLA,META,AVGO,COST,PEP,AMGN,TXN,AMD,TMUS,NFLX,CMCSA,AZN,CSCO,ASML,ADBE
98,73.16,170.17,69.66,98.98,66.91,51.92,197.2,285.88,305.69,141.98,222.14,118.79,47.49,93.65,379.24,42.22,47.57,42.16,286.32,351.34
99,68.38,158.18,65.9,94.22,63.15,45.27,189.75,273.95,293.13,136.37,222.79,113.13,44.01,91.24,371.71,41.05,45.07,40.04,277.23,337.52
100,68.34,162.01,66.97,94.19,67.52,44.53,192.47,272.62,281.14,132.03,217.88,114.14,45.48,90.16,369.03,40.43,43.8,39.93,276.71,345.12
101,74.7,172.79,69.46,97.7,69.11,49.57,196.44,284.97,309.14,137.58,210.38,118.97,47.46,93.29,381.05,42.52,45.87,41.17,287.49,360.28
102,72.33,164.51,67.07,95.45,66.47,49.7,185.89,274.25,302.73,135.58,214.54,113.81,46.75,89.37,368.77,41.44,45.52,40.04,284.3,348.34
103,75.69,170.55,69.33,98.79,71.13,49.97,191.76,285.45,320.74,142.39,203.5,119.05,50.11,93.81,383.79,42.5,48.6,41.39,301.61,363.85
104,73.23,166.27,65.95,96.2,68.32,48.3,185.17,274.04,315.76,138.1,199.73,114.72,48.11,89.86,372.78,40.77,48.38,39.57,288.25,351.03
105,72.26,161.57,64.92,95.05,66.51,46.9,181.09,269.45,311.34,137.26,212.2,113.16,48.59,87.86,368.97,40.37,47.52,39.68,288.11,336.77
106,66.54,150.62,60.78,90.03,61.36,40.53,169.5,247.72,301.98,130.16,204.42,105.04,43.27,79.75,346.49,37.88,45.23,37.96,263.91,305.79
107,71.33,160.92,64.02,94.59,65.27,43.02,178.19,262.9,309.4,134.14,215.11,112.12,45.38,84.98,364.13,39.1,46.9,40.08,279.76,332.38
108,68.86,153.63,60.77,91.04,61.62,42.28,170.24,245.97,297.43,129.75,212.12,106.5,45.7,86.45,349.92,37.91,44.58,37.05,264.14,315.23
109,62.06,139.06,55.75,83.83,54.08,37.37,154.47,218.78,279.85,115.34,210.65,97.53,39.01,76.76,315.25,34.94,40.76,33.2,240.75,285.0
110,69.49,158.83,60.99,89.25,60.21,36.44,170.28,234.22,302.27,127.45,198.37,106.04,43.9,85.39,336.3,39.33,42.28,37.64,256.95,335.5
111,60.55,135.42,54.22,84.46,49.1,29.67,146.01,187.58,283.18,113.09,198.37,93.5,38.71,76.53,298.84,36.04,37.79,33.71,229.36,286.03
112,63.22,146.57,55.99,90.39,54.32,28.68,149.42,199.51,306.99,127.72,198.65,106.15,41.88,78.35,319.75,38.22,40.93,35.5,238.34,311.81
113,61.67,140.4,54.84,91.5,50.71,24.08,146.96,167.87,307.5,120.92,182.24,100.0,39.12,74.32,315.47,35.68,39.36,37.12,196.99,294.61
114,61.2,142.71,55.76,94.05,53.24,28.51,153.13,194.45,305.22,117.34,202.1,101.57,39.82,79.45,332.03,35.94,40.13,37.71,214.03,307.51
115,57.31,137.35,53.62,92.3,51.44,28.5,149.73,192.22,290.42,103.93,188.68,97.6,39.61,74.55,332.83,33.37,39.42,35.6,216.1,295.34
116,56.09,135.98,52.83,95.14,53.17,28.95,148.1,193.47,285.53,105.18,207.8,98.44,41.64,75.7,360.27,34.17,38.78,34.6,233.15,307.27
